Contact.Key,Resp,R2016,R2015,R2014,Age,Finish.Time,Swim.Time,Bike.Time,Run.Time,Min_Year,prior_races,club_aff,Finish.Rank,Swim.Rank,Bike.Rank,Run.Rank
1505533,0,0,0,0,48,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505540,0,0,0,0,24,21417,1788,11234,7969,2017,1,0,3,2,4,3
1505543,0,0,0,0,37,28895,2924,13277,11562,2017,1,0,8,7,7,8
1505554,0,0,0,0,39,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505556,0,0,0,0,48,999999,999999,999999,999999,2017,2,1,10,10,10,10
1505572,0,0,0,0,44,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505573,0,0,0,0,28,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505580,0,0,0,0,27,25816,2341,12186,10747,2017,1,0,6,4,6,7
1505588,0,0,0,0,42,21232,1778,10682,8250,2017,1,0,3,2,3,4
1505601,0,0,0,0,28,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505617,0,0,0,0,29,22713,1972,11912,8375,2017,1,0,4,2,6,4
1505624,0,0,0,0,52,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505632,0,0,0,0,20,999999,999999,999999,999999,2017,1,1,10,10,10,10
1505649,0,0,0,0,39,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505655,0,0,0,0,32,999999,2673,999999,999999,2017,1,0,10,6,10,10
1505662,0,0,0,0,27,22847,1970,11071,9293,2017,1,0,4,2,4,6
1505677,0,0,0,0,49,23353,2581,11280,8568,2017,1,0,5,5,4,4
1505680,0,0,0,0,34,22666,2480,11073,8562,2017,1,0,4,5,4,4
1505701,0,0,0,0,37,27735,2918,10804,12848,2017,1,0,7,7,3,8
1505703,0,0,0,0,56,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505735,0,0,0,0,38,24220,2493,12471,8693,2017,1,0,5,5,6,5
1505737,0,0,0,0,27,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505738,0,0,0,0,36,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505741,0,0,0,0,31,25550,2271,12465,9704,2017,1,0,6,3,6,6
1505742,0,0,0,0,26,22195,1821,11168,8592,2017,1,0,4,2,4,5
1505743,0,0,0,0,44,999999,999999,999999,999999,2017,1,0,10,10,10,10
1505745,0,0,0,0,31,999999,999999,999999,999999,2017,1,0,10,10,10,10
